"id","sku","labeling_unit_1","labeling_quantity_1","labeling_unit_2","labeling_quantity_2","labeling_unit_3","labeling_quantity_3","labeling_unit_4","labeling_quantity_4","labeling_unit_5","labeling_quantity_5","created_at","updated_at","customer_id"
"272","MISC-006","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.637481-04","2024-06-09 00:48:59.637481-04",1
"273","MISC-007","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.638483-04","2024-06-09 00:48:59.638483-04",1
"274","MISC-008","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.638483-04","2024-06-09 00:48:59.638483-04",1
"275","MISC-008-06","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.639495-04","2024-06-09 00:48:59.639495-04",1
"276","MISC-BULK","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.639495-04","2024-06-09 00:48:59.639495-04",1
"277","MK0002","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.640517-04","2024-06-09 00:48:59.640517-04",1
"278","MK0350","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.640517-04","2024-06-09 00:48:59.640517-04",1
"279","OAKShow-Chicago","Pallet",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.641516-04","2024-06-09 00:48:59.641516-04",1
"280","OAKShow-Toronto","Pallet",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.641516-04","2024-06-09 00:48:59.641516-04",1
"281","OOAK_Chicago_Equipment","Pallet",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.642503-04","2024-06-09 00:48:59.642503-04",1
"282","P200","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.642503-04","2024-06-09 00:48:59.642503-04",1
"283","P201","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"284","P202","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"285","P203","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
"286","P204","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.643502-04","2024-06-09 00:48:59.643502-04",1
